CIPCode2010,CIPTitle2010,Action,Text change,CIPCode2020,CIPTitle2020,,,CIPCode2010,CIPCode2020
31.01,"Parks, Recreation and Leisure Studies.",No substantive changes,no,31.01,"Parks, Recreation, and Leisure Studies.",,,31.01,31.01
31.0101,"Parks, Recreation and Leisure Studies.",No substantive changes,no,31.0101,"Parks, Recreation, and Leisure Studies.",,,31.0101,31.0101
31.03,"Parks, Recreation and Leisure Facilities Management.",No substantive changes,no,31.03,"Parks, Recreation, and Leisure Facilities Management.",,,31.03,31.03
31.0301,"Parks, Recreation and Leisure Facilities Management, General.",No substantive changes,no,31.0301,"Parks, Recreation, and Leisure Facilities Management, General.",,,31.0301,31.0301
31.0302,Golf Course Operation and Grounds Management.,No substantive changes,no,31.0302,Golf Course Operation and Grounds Management.,,,31.0302,31.0302
31.0399,"Parks, Recreation and Leisure Facilities Management, Other.",No substantive changes,no,31.0399,"Parks, Recreation, and Leisure Facilities Management, Other.",,,31.0399,31.0399
31.05,Health and Physical Education/Fitness.,No substantive changes,yes,31.05,"Sports, Kinesiology, and Physical Education/Fitness.",,,31.05,31.05
31.0501,"Health and Physical Education/Fitness, General.",No substantive changes,yes,31.0501,"Sports, Kinesiology, and Physical Education/Fitness, General.",,,31.0501,31.0501
31.0504,Sport and Fitness Administration/Management.,No substantive changes,no,31.0504,Sport and Fitness Administration/Management.,,,31.0504,31.0504
31.0505,Kinesiology and Exercise Science.,No substantive changes,yes,31.0505,Exercise Science and Kinesiology.,,,31.0505,31.0505
31.0507,Physical Fitness Technician.,No substantive changes,no,31.0507,Physical Fitness Technician.,,,31.0507,31.0507
31.0508,Sports Studies.,No substantive changes,no,31.0508,Sports Studies.,,,31.0508,31.0508
31.0599,"Health and Physical Education/Fitness, Other.",No substantive changes,yes,31.0599,"Sports, Kinesiology, and Physical Education/Fitness, Other.",,,31.0599,31.0599
31.06,Outdoor Education.,No substantive changes,no,31.06,Outdoor Education.,,,31.06,31.06
31.0601,Outdoor Education.,No substantive changes,no,31.0601,Outdoor Education.,,,31.0601,31.0601
31.99,"Parks, Recreation, Leisure, and Fitness Studies, Other.",No substantive changes,yes,31.99,"Parks, Recreation, Leisure, Fitness, and Kinesiology, Other.",,,31.99,31.99
31.9999,"Parks, Recreation, Leisure, and Fitness Studies, Other.",No substantive changes,yes,31.9999,"Parks, Recreation, Leisure, Fitness, and Kinesiology, Other.",,,31.9999,31.9999
32,BASIC SKILLS AND DEVELOPMENTAL/REMEDIAL EDUCATION.,No substantive changes,no,32,BASIC SKILLS AND DEVELOPMENTAL/REMEDIAL EDUCATION.,,,32,32
32.01,Basic Skills and Developmental/Remedial Education.,No substantive changes,no,32.01,Basic Skills and Developmental/Remedial Education.,,,32.01,32.01
32.0101,"Basic Skills and Developmental/Remedial Education, General.",No substantive changes,no,32.0101,"Basic Skills and Developmental/Remedial Education, General.",,,32.0101,32.0101
32.0104,Developmental/Remedial Mathematics.,No substantive changes,no,32.0104,Developmental/Remedial Mathematics.,,,32.0104,32.0104
32.0105,Job-Seeking/Changing Skills.,No substantive changes,no,32.0105,Job-Seeking/Changing Skills.,,,32.0105,32.0105
32.0107,Career Exploration/Awareness Skills.,No substantive changes,no,32.0107,Career Exploration/Awareness Skills.,,,32.0107,32.0107
32.0108,Developmental/Remedial English.,No substantive changes,no,32.0108,Developmental/Remedial English.,,,32.0108,32.0108
32.0109,Second Language Learning.,No substantive changes,no,32.0109,Second Language Learning.,,,32.0109,32.0109
32.0110,Basic Computer Skills.,No substantive changes,no,32.0110,Basic Computer Skills.,,,32.011,32.011
32.0111,Workforce Development and Training.,No substantive changes,no,32.0111,Workforce Development and Training.,,,32.0111,32.0111
,,New,no,32.0112,Accent Reduction/Modification.,,,,32.0112
32.0199,"Basic Skills and Developmental/Remedial Education, Other.",No substantive changes,no,32.0199,"Basic Skills and Developmental/Remedial Education, Other.",,,32.0199,32.0199
,,New,no,32.02,General Exam Preparation and Test-Taking Skills.,,,,32.02
,,New,no,32.0201,"Exam Preparation and Test-Taking Skills, General.",,,,32.0201
,,New,no,32.0202,High School Equivalent Exam Preparation.,,,,32.0202
,,New,no,32.0203,Undergraduate Entrance/Placement Examination Preparation.,,,,32.0203
,,New,no,32.0204,Graduate/Professional School Entrance Examination Preparation.,,,,32.0204
,,New,no,32.0205,Professional Certification/Licensure Examination Preparation.,,,,32.0205
,,New,no,32.0299,"General Exam Preparation and Test-Taking Skills, Other.",,,,32.0299
33,CITIZENSHIP ACTIVITIES.,No substantive changes,no,33,CITIZENSHIP ACTIVITIES.,,,33,33
33.01,Citizenship Activities.,No substantive changes,no,33.01,Citizenship Activities.,,,33.01,33.01
33.0101,"Citizenship Activities, General.",No substantive changes,no,33.0101,"Citizenship Activities, General.",,,33.0101,33.0101
33.0102,American Citizenship Education.,No substantive changes,no,33.0102,American Citizenship Education.,,,33.0102,33.0102
33.0103,Community Awareness.,No substantive changes,no,33.0103,Community Awareness.,,,33.0103,33.0103
33.0104,Community Involvement.,No substantive changes,no,33.0104,Community Involvement.,,,33.0104,33.0104
33.0105,Canadian Citizenship Education.,No substantive changes,no,33.0105,Canadian Citizenship Education.,,,33.0105,33.0105
,,New,no,33.0106,Personal Emergency Preparedness.,,,,33.0106
33.0199,"Citizenship Activities, Other.",No substantive changes,no,33.0199,"Citizenship Activities, Other.",,,33.0199,33.0199
34,HEALTH-RELATED KNOWLEDGE AND SKILLS.,No substantive changes,yes,34,HEALTH-RELATED KNOWLEDGE AND SKILLS.,,,34,34
34.01,Health-Related Knowledge and Skills.,No substantive changes,no,34.01,Health-Related Knowledge and Skills.,,,34.01,34.01
34.0102,Birthing and Parenting Knowledge and Skills.,No substantive changes,no,34.0102,Birthing and Parenting Knowledge and Skills.,,,34.0102,34.0102
34.0103,Personal Health Improvement and Maintenance.,No substantive changes,no,34.0103,Personal Health Improvement and Maintenance.,,,34.0103,34.0103
34.0104,Addiction Prevention and Treatment.,No substantive changes,no,34.0104,Addiction Prevention and Treatment.,,,34.0104,34.0104
,,New,no,34.0105,Meditation/Mind-Body Wellness.,,,,34.0105
34.0199,"Health-Related Knowledge and Skills, Other.",No substantive changes,no,34.0199,"Health-Related Knowledge and Skills, Other.",,,34.0199,34.0199
35,INTERPERSONAL AND SOCIAL SKILLS.,No substantive changes,no,35,INTERPERSONAL AND SOCIAL SKILLS.,,,35,35
35.01,Interpersonal and Social Skills.,No substantive changes,no,35.01,Interpersonal and Social Skills.,,,35.01,35.01
35.0101,"Interpersonal and Social Skills, General.",No substantive changes,no,35.0101,"Interpersonal and Social Skills, General.",,,35.0101,35.0101
35.0102,Interpersonal Relationships Skills.,No substantive changes,no,35.0102,Interpersonal Relationships Skills.,,,35.0102,35.0102
35.0103,Business and Social Skills.,No substantive changes,no,35.0103,Business and Social Skills.,,,35.0103,35.0103
,,New,no,35.0105,Life Coaching.,,,,35.0105
35.0199,"Interpersonal Social Skills, Other.",No substantive changes,no,35.0199,"Interpersonal Social Skills, Other.",,,35.0199,35.0199
36,LEISURE AND RECREATIONAL ACTIVITIES.,No substantive changes,no,36,LEISURE AND RECREATIONAL ACTIVITIES.,,,36,36
36.01,Leisure and Recreational Activities.,No substantive changes,no,36.01,Leisure and Recreational Activities.,,,36.01,36.01
36.0101,"Leisure and Recreational Activities, General.",No substantive changes,no,36.0101,"Leisure and Recreational Activities, General.",,,36.0101,36.0101
36.0102,Handicrafts and Model-Making.,No substantive changes,no,36.0102,Handicrafts and Model-Making.,,,36.0102,36.0102
36.0103,"Board, Card and Role-Playing Games.",No substantive changes,no,36.0103,"Board, Card and Role-Playing Games.",,,36.0103,36.0103
36.0105,Home Maintenance and Improvement.,No substantive changes,no,36.0105,Home Maintenance and Improvement.,,,36.0105,36.0105
36.0106,Nature Appreciation.,No substantive changes,no,36.0106,Nature Appreciation.,,,36.0106,36.0106
36.0107,Pet Ownership and Care.,No substantive changes,no,36.0107,Pet Ownership and Care.,,,36.0107,36.0107
36.0108,Sports and Exercise.,No substantive changes,no,36.0108,Sports and Exercise.,,,36.0108,36.0108
36.0109,Travel and Exploration.,No substantive changes,no,36.0109,Travel and Exploration.,,,36.0109,36.0109
36.0110,Art.,No substantive changes,no,36.0110,Art.,,,36.011,36.011
36.0111,Collecting.,No substantive changes,no,36.0111,Collecting.,,,36.0111,36.0111
36.0112,Cooking and Other Domestic Skills.,No substantive changes,no,36.0112,Cooking and Other Domestic Skills.,,,36.0112,36.0112
36.0113,Computer Games and Programming Skills.,No substantive changes,no,36.0113,Computer Games and Programming Skills.,,,36.0113,36.0113
36.0114,Dancing.,No substantive changes,no,36.0114,Dancing.,,,36.0114,36.0114
36.0115,Music.,No substantive changes,no,36.0115,Music.,,,36.0115,36.0115
36.0116,Reading.,No substantive changes,no,36.0116,Reading.,,,36.0116,36.0116
36.0117,Theatre/Theater.,No substantive changes,no,36.0117,Theatre/Theater.,,,36.0117,36.0117
36.0118,Writing.,No substantive changes,no,36.0118,Writing.,,,36.0118,36.0118
36.0119,Aircraft Pilot (Private).,Moved to,no,36.0202,Aircraft Pilot (Private).,,,36.0119,36.0202
,,New,no,36.0120,Beekeeping.,,,,36.012
,,New,no,36.0121,Firearms Training/Safety.,,,,36.0121
,,New,no,36.0122,Floral Design/Arrangement.,,,,36.0122
,,New,no,36.0123,Master Gardener/Gardening.,,,,36.0123
36.0199,"Leisure and Recreational Activities, Other.",No substantive changes,no,36.0199,"Leisure and Recreational Activities, Other.",,,36.0199,36.0199
,,New,no,36.02,Noncommercial Vehicle Operation.,,,,36.02
,,New,no,36.0203,Automobile Driver Education.,,,,36.0203
,,New,no,36.0204,Helicopter Pilot (Private).,,,,36.0204
,,New,no,36.0205,Motorcycle Rider Education.,,,,36.0205
,,New,no,36.0206,Personal Watercraft/Boating Education.,,,,36.0206
,,New,no,36.0207,Remote Aircraft Pilot (Personal).,,,,36.0207
,,New,no,36.0299,"Noncommercial Vehicle Operation, Other.",,,,36.0299
37,PERSONAL AWARENESS AND SELF-IMPROVEMENT.,No substantive changes,no,37,PERSONAL AWARENESS AND SELF-IMPROVEMENT.,,,37,37
37.01,Personal Awareness and Self-Improvement.,No substantive changes,no,37.01,Personal Awareness and Self-Improvement.,,,37.01,37.01
37.0101,Self-Awareness and Personal Assessment.,No substantive changes,no,37.0101,Self-Awareness and Personal Assessment.,,,37.0101,37.0101
37.0102,Stress Management and Coping Skills.,No substantive changes,no,37.0102,Stress Management and Coping Skills.,,,37.0102,37.0102
37.0103,Personal Decision-Making Skills.,No substantive changes,no,37.0103,Personal Decision-Making Skills.,,,37.0103,37.0103
37.0104,Self-Esteem and Values Clarification.,No substantive changes,no,37.0104,Self-Esteem and Values Clarification.,,,37.0104,37.0104
,,New,no,37.0106,Investing/Wealth Management/Retirement Planning.,,,,37.0106
,,New,no,37.0107,Self-Defense.,,,,37.0107
37.0199,"Personal Awareness and Self-Improvement, Other.",No substantive changes,no,37.0199,"Personal Awareness and Self-Improvement, Other.",,,37.0199,37.0199
38,PHILOSOPHY AND RELIGIOUS STUDIES.,No substantive changes,no,38,PHILOSOPHY AND RELIGIOUS STUDIES.,,,38,38
38.00,"Philosophy and Religious Studies, General.",No substantive changes,no,38.00,"Philosophy and Religious Studies, General.",,,38,38
38.0001,"Philosophy and Religious Studies, General.",No substantive changes,no,38.0001,"Philosophy and Religious Studies, General.",,,38.0001,38.0001
38.01,Philosophy.,No substantive changes,no,38.01,Philosophy.,,,38.01,38.01
38.0101,Philosophy.,No substantive changes,no,38.0101,Philosophy.,,,38.0101,38.0101
38.0102,Logic.,No substantive changes,no,38.0102,Logic.,,,38.0102,38.0102
38.0103,Ethics.,No substantive changes,no,38.0103,Ethics.,,,38.0103,38.0103
38.0104,Applied and Professional Ethics.,No substantive changes,no,38.0104,Applied and Professional Ethics.,,,38.0104,38.0104
38.0199,"Philosophy, Other.",No substantive changes,no,38.0199,"Philosophy, Other.",,,38.0199,38.0199
38.02,Religion/Religious Studies.,No substantive changes,no,38.02,Religion/Religious Studies.,,,38.02,38.02
38.0201,Religion/Religious Studies.,No substantive changes,no,38.0201,Religion/Religious Studies.,,,38.0201,38.0201
38.0202,Buddhist Studies.,No substantive changes,no,38.0202,Buddhist Studies.,,,38.0202,38.0202
38.0203,Christian Studies.,No substantive changes,no,38.0203,Christian Studies.,,,38.0203,38.0203
38.0204,Hindu Studies.,No substantive changes,no,38.0204,Hindu Studies.,,,38.0204,38.0204
38.0205,Islamic Studies.,No substantive changes,no,38.0205,Islamic Studies.,,,38.0205,38.0205
38.0206,Jewish/Judaic Studies.,No substantive changes,no,38.0206,Jewish/Judaic Studies.,,,38.0206,38.0206
,,New,no,38.0208,Catholic Studies.,,,,38.0208
,,New,no,38.0209,Mormon Studies.,,,,38.0209
38.0299,"Religion/Religious Studies, Other.",No substantive changes,no,38.0299,"Religion/Religious Studies, Other.",,,38.0299,38.0299
38.99,"Philosophy and Religious Studies, Other.",No substantive changes,no,38.99,"Philosophy and Religious Studies, Other.",,,38.99,38.99
38.9999,"Philosophy and Religious Studies, Other.",No substantive changes,no,38.9999,"Philosophy and Religious Studies, Other.",,,38.9999,38.9999
39,THEOLOGY AND RELIGIOUS VOCATIONS.,No substantive changes,no,39,THEOLOGY AND RELIGIOUS VOCATIONS.,,,39,39
39.02,Bible/Biblical Studies.,No substantive changes,no,39.02,Bible/Biblical Studies.,,,39.02,39.02
39.0201,Bible/Biblical Studies.,No substantive changes,no,39.0201,Bible/Biblical Studies.,,,39.0201,39.0201
39.03,Missions/Missionary Studies and Missiology.,No substantive changes,no,39.03,Missions/Missionary Studies and Missiology.,,,39.03,39.03
39.0301,Missions/Missionary Studies and Missiology.,No substantive changes,yes,39.0301,Missions/Missionary Studies.,,,39.0301,39.0301
,,New,no,39.0302,Church Planting.,,,,39.0302
,,New,no,39.0399,"Missions/Missionary Studies and Missiology, Other.",,,,39.0399
39.04,Religious Education.,No substantive changes,no,39.04,Religious Education.,,,39.04,39.04
39.0401,Religious Education.,No substantive changes,no,39.0401,Religious Education.,,,39.0401,39.0401
39.05,Religious/Sacred Music.,No substantive changes,yes,39.05,Religious Music and Worship.,,,39.05,39.05
39.0501,Religious/Sacred Music.,No substantive changes,no,39.0501,Religious/Sacred Music.,,,39.0501,39.0501
,,New,no,39.0502,Worship Ministry.,,,,39.0502
,,New,no,39.0599,"Religious Music and Worship, Other.",,,,39.0599
39.06,Theological and Ministerial Studies.,No substantive changes,no,39.06,Theological and Ministerial Studies.,,,39.06,39.06
39.0601,Theology/Theological Studies.,No substantive changes,no,39.0601,Theology/Theological Studies.,,,39.0601,39.0601
39.0602,Divinity/Ministry.,No substantive changes,no,39.0602,Divinity/Ministry.,,,39.0602,39.0602
39.0604,Pre-Theology/Pre-Ministerial Studies.,No substantive changes,no,39.0604,Pre-Theology/Pre-Ministerial Studies.,,,39.0604,39.0604
39.0605,Rabbinical Studies.,No substantive changes,no,39.0605,Rabbinical Studies.,,,39.0605,39.0605
39.0606,Talmudic Studies.,Moved to,yes,38.0207,Talmudic Studies.,,,39.0606,38.0207
39.0699,"Theological and Ministerial Studies, Other.",No substantive changes,no,39.0699,"Theological and Ministerial Studies, Other.",,,39.0699,39.0699
39.07,Pastoral Counseling and Specialized Ministries.,No substantive changes,no,39.07,Pastoral Counseling and Specialized Ministries.,,,39.07,39.07
39.0701,Pastoral Studies/Counseling.,No substantive changes,no,39.0701,Pastoral Studies/Counseling.,,,39.0701,39.0701
39.0702,Youth Ministry.,No substantive changes,no,39.0702,Youth Ministry.,,,39.0702,39.0702
39.0703,Urban Ministry.,No substantive changes,no,39.0703,Urban Ministry.,,,39.0703,39.0703
39.0704,Women's Ministry.,No substantive changes,no,39.0704,Women's Ministry.,,,39.0704,39.0704
39.0705,Lay Ministry.,No substantive changes,no,39.0705,Lay Ministry.,,,39.0705,39.0705
,,New,no,39.0706,Chaplain/Chaplaincy Studies.,,,,39.0706
39.0799,"Pastoral Counseling and Specialized Ministries, Other.",No substantive changes,no,39.0799,"Pastoral Counseling and Specialized Ministries, Other.",,,39.0799,39.0799
,,New,no,39.08,Religious Institution Administration and Law.,,,,39.08
,,New,no,39.0801,Religious Institution Administration and Management.,,,,39.0801
,,New,no,39.0802,Religious/Canon Law.,,,,39.0802
,,New,no,39.0899,"Religious Institution Administration and Law, Other.",,,,39.0899
39.99,"Theology and Religious Vocations, Other.",No substantive changes,no,39.99,"Theology and Religious Vocations, Other.",,,39.99,39.99
39.9999,"Theology and Religious Vocations, Other.",No substantive changes,no,39.9999,"Theology and Religious Vocations, Other.",,,39.9999,39.9999
40,PHYSICAL SCIENCES.,No substantive changes,no,40,PHYSICAL SCIENCES.,,,40,40
40.01,Physical Sciences.,No substantive changes,yes,40.01,"Physical Sciences, General.",,,40.01,40.01
40.0101,Physical Sciences.,No substantive changes,yes,40.0101,"Physical Sciences, General.",,,40.0101,40.0101
40.02,Astronomy and Astrophysics.,No substantive changes,no,40.02,Astronomy and Astrophysics.,,,40.02,40.02
40.0201,Astronomy.,No substantive changes,no,40.0201,Astronomy.,,,40.0201,40.0201
40.0202,Astrophysics.,No substantive changes,no,40.0202,Astrophysics.,,,40.0202,40.0202
40.0203,Planetary Astronomy and Science.,No substantive changes,no,40.0203,Planetary Astronomy and Science.,,,40.0203,40.0203
40.0299,"Astronomy and Astrophysics, Other.",No substantive changes,no,40.0299,"Astronomy and Astrophysics, Other.",,,40.0299,40.0299
40.04,Atmospheric Sciences and Meteorology.,No substantive changes,no,40.04,Atmospheric Sciences and Meteorology.,,,40.04,40.04
40.0401,"Atmospheric Sciences and Meteorology, General.",No substantive changes,no,40.0401,"Atmospheric Sciences and Meteorology, General.",,,40.0401,40.0401
40.0402,Atmospheric Chemistry and Climatology.,No substantive changes,no,40.0402,Atmospheric Chemistry and Climatology.,,,40.0402,40.0402
40.0403,Atmospheric Physics and Dynamics.,No substantive changes,no,40.0403,Atmospheric Physics and Dynamics.,,,40.0403,40.0403
40.0404,Meteorology.,No substantive changes,no,40.0404,Meteorology.,,,40.0404,40.0404
40.0499,"Atmospheric Sciences and Meteorology, Other.",No substantive changes,no,40.0499,"Atmospheric Sciences and Meteorology, Other.",,,40.0499,40.0499
40.05,Chemistry.,No substantive changes,no,40.05,Chemistry.,,,40.05,40.05
40.0501,"Chemistry, General.",No substantive changes,no,40.0501,"Chemistry, General.",,,40.0501,40.0501
40.0502,Analytical Chemistry.,No substantive changes,no,40.0502,Analytical Chemistry.,,,40.0502,40.0502
40.0503,Inorganic Chemistry.,No substantive changes,no,40.0503,Inorganic Chemistry.,,,40.0503,40.0503
40.0504,Organic Chemistry.,No substantive changes,no,40.0504,Organic Chemistry.,,,40.0504,40.0504
40.0506,Physical Chemistry.,No substantive changes,no,40.0506,Physical Chemistry.,,,40.0506,40.0506
40.0507,Polymer Chemistry.,No substantive changes,no,40.0507,Polymer Chemistry.,,,40.0507,40.0507
40.0508,Chemical Physics.,No substantive changes,no,40.0508,Chemical Physics.,,,40.0508,40.0508
40.0509,Environmental Chemistry.,No substantive changes,no,40.0509,Environmental Chemistry.,,,40.0509,40.0509
40.0510,Forensic Chemistry.,No substantive changes,no,40.0510,Forensic Chemistry.,,,40.051,40.051
40.0511,Theoretical Chemistry.,No substantive changes,no,40.0511,Theoretical Chemistry.,,,40.0511,40.0511
,,New,no,40.0512,Cheminformatics/Chemistry Informatics.,,,,40.0512
40.0599,"Chemistry, Other.",No substantive changes,no,40.0599,"Chemistry, Other.",,,40.0599,40.0599
40.06,Geological and Earth Sciences/Geosciences.,No substantive changes,no,40.06,Geological and Earth Sciences/Geosciences.,,,40.06,40.06
40.0601,"Geology/Earth Science, General.",No substantive changes,no,40.0601,"Geology/Earth Science, General.",,,40.0601,40.0601
40.0602,Geochemistry.,No substantive changes,no,40.0602,Geochemistry.,,,40.0602,40.0602
40.0603,Geophysics and Seismology.,No substantive changes,no,40.0603,Geophysics and Seismology.,,,40.0603,40.0603
40.0604,Paleontology.,No substantive changes,no,40.0604,Paleontology.,,,40.0604,40.0604
40.0605,Hydrology and Water Resources Science.,No substantive changes,no,40.0605,Hydrology and Water Resources Science.,,,40.0605,40.0605
40.0606,Geochemistry and Petrology.,No substantive changes,no,40.0606,Geochemistry and Petrology.,,,40.0606,40.0606
40.0607,"Oceanography, Chemical and Physical.",No substantive changes,no,40.0607,"Oceanography, Chemical and Physical.",,,40.0607,40.0607
40.0699,"Geological and Earth Sciences/Geosciences, Other.",No substantive changes,no,40.0699,"Geological and Earth Sciences/Geosciences, Other.",,,40.0699,40.0699
40.08,Physics.,No substantive changes,no,40.08,Physics.,,,40.08,40.08
40.0801,"Physics, General.",No substantive changes,no,40.0801,"Physics, General.",,,40.0801,40.0801
40.0802,Atomic/Molecular Physics.,No substantive changes,no,40.0802,Atomic/Molecular Physics.,,,40.0802,40.0802
40.0804,Elementary Particle Physics.,No substantive changes,no,40.0804,Elementary Particle Physics.,,,40.0804,40.0804
40.0805,Plasma and High-Temperature Physics.,No substantive changes,no,40.0805,Plasma and High-Temperature Physics.,,,40.0805,40.0805
40.0806,Nuclear Physics.,No substantive changes,no,40.0806,Nuclear Physics.,,,40.0806,40.0806
40.0807,Optics/Optical Sciences.,No substantive changes,no,40.0807,Optics/Optical Sciences.,,,40.0807,40.0807
40.0808,Condensed Matter and Materials Physics.,No substantive changes,no,40.0808,Condensed Matter and Materials Physics.,,,40.0808,40.0808
40.0809,Acoustics.,No substantive changes,no,40.0809,Acoustics.,,,40.0809,40.0809
40.0810,Theoretical and Mathematical Physics.,No substantive changes,no,40.0810,Theoretical and Mathematical Physics.,,,40.081,40.081
40.0899,"Physics, Other.",No substantive changes,no,40.0899,"Physics, Other.",,,40.0899,40.0899
40.10,Materials Sciences.,No substantive changes,no,40.10,Materials Sciences.,,,40.1,40.1
40.1001,Materials Science.,No substantive changes,no,40.1001,Materials Science.,,,40.1001,40.1001
40.1002,Materials Chemistry.,No substantive changes,no,40.1002,Materials Chemistry.,,,40.1002,40.1002
40.1099,"Materials Sciences, Other.",No substantive changes,no,40.1099,"Materials Sciences, Other.",,,40.1099,40.1099
,,New,no,40.11,Physics and Astronomy.,,,,40.11
,,New,no,40.1101,Physics and Astronomy.,,,,40.1101
40.99,"Physical Sciences, Other.",No substantive changes,no,40.99,"Physical Sciences, Other.",,,40.99,40.99
40.9999,"Physical Sciences, Other.",No substantive changes,no,40.9999,"Physical Sciences, Other.",,,40.9999,40.9999
41,SCIENCE TECHNOLOGIES/TECHNICIANS.,No substantive changes,no,41,SCIENCE TECHNOLOGIES/TECHNICIANS.,,,41,41
41.00,"Science Technologies/Technicians, General.",No substantive changes,no,41.00,"Science Technologies/Technicians, General.",,,41,41
41.0000,"Science Technologies/Technicians, General.",No substantive changes,no,41.0000,"Science Technologies/Technicians, General.",,,41,41
41.01,Biology Technician/Biotechnology Laboratory Technician.,No substantive changes,yes,41.01,Biology/Biotechnology Technologies/Technicians.,,,41.01,41.01
41.0101,Biology Technician/Biotechnology Laboratory Technician.,No substantive changes,yes,41.0101,Biology/Biotechnology Technology/Technician.,,,41.0101,41.0101
41.02,Nuclear and Industrial Radiologic Technologies/Technicians.,No substantive changes,no,41.02,Nuclear and Industrial Radiologic Technologies/Technicians.,,,41.02,41.02
41.0204,Industrial Radiologic Technology/Technician.,No substantive changes,no,41.0204,Industrial Radiologic Technology/Technician.,,,41.0204,41.0204
41.0205,Nuclear/Nuclear Power Technology/Technician.,No substantive changes,no,41.0205,Nuclear/Nuclear Power Technology/Technician.,,,41.0205,41.0205
41.0299,"Nuclear and Industrial Radiologic Technologies/Technicians, Other.",No substantive changes,no,41.0299,"Nuclear and Industrial Radiologic Technologies/Technicians, Other.",,,41.0299,41.0299
41.03,Physical Science Technologies/Technicians.,No substantive changes,no,41.03,Physical Science Technologies/Technicians.,,,41.03,41.03
41.0301,Chemical Technology/Technician.,No substantive changes,no,41.0301,Chemical Technology/Technician.,,,41.0301,41.0301
41.0303,Chemical Process Technology.,No substantive changes,no,41.0303,Chemical Process Technology.,,,41.0303,41.0303
41.0399,"Physical Science Technologies/Technicians, Other.",No substantive changes,no,41.0399,"Physical Science Technologies/Technicians, Other.",,,41.0399,41.0399
41.99,"Science Technologies/Technicians, Other.",No substantive changes,no,41.99,"Science Technologies/Technicians, Other.",,,41.99,41.99
41.9999,"Science Technologies/Technicians, Other.",No substantive changes,no,41.9999,"Science Technologies/Technicians, Other.",,,41.9999,41.9999
42,PSYCHOLOGY.,No substantive changes,no,42,PSYCHOLOGY.,,,42,42
42.01,"Psychology, General.",No substantive changes,no,42.01,"Psychology, General.",,,42.01,42.01
42.0101,"Psychology, General.",No substantive changes,no,42.0101,"Psychology, General.",,,42.0101,42.0101
42.27,Research and Experimental Psychology.,No substantive changes,no,42.27,Research and Experimental Psychology.,,,42.27,42.27
42.2701,Cognitive Psychology and Psycholinguistics.,No substantive changes,no,42.2701,Cognitive Psychology and Psycholinguistics.,,,42.2701,42.2701
42.2702,Comparative Psychology.,No substantive changes,no,42.2702,Comparative Psychology.,,,42.2702,42.2702
42.2703,Developmental and Child Psychology.,No substantive changes,yes,42.2703,Developmental and Child Psychology.,,,42.2703,42.2703
42.2704,Experimental Psychology.,No substantive changes,no,42.2704,Experimental Psychology.,,,42.2704,42.2704
42.2705,Personality Psychology.,No substantive changes,no,42.2705,Personality Psychology.,,,42.2705,42.2705
42.2706,Physiological Psychology/Psychobiology.,No substantive changes,yes,42.2706,Behavioral Neuroscience.,,,42.2706,42.2706
42.2707,Social Psychology.,No substantive changes,no,42.2707,Social Psychology.,,,42.2707,42.2707
42.2708,Psychometrics and Quantitative Psychology.,No substantive changes,no,42.2708,Psychometrics and Quantitative Psychology.,,,42.2708,42.2708
42.2709,Psychopharmacology.,No substantive changes,no,42.2709,Psychopharmacology.,,,42.2709,42.2709
,,New,no,42.2710,Developmental and Adolescent Psychology.,,,,42.271
42.2799,"Research and Experimental Psychology, Other.",No substantive changes,no,42.2799,"Research and Experimental Psychology, Other.",,,42.2799,42.2799
42.28,"Clinical, Counseling and Applied Psychology.",No substantive changes,no,42.28,"Clinical, Counseling and Applied Psychology.",,,42.28,42.28
42.2801,Clinical Psychology.,No substantive changes,no,42.2801,Clinical Psychology.,,,42.2801,42.2801
42.2802,Community Psychology.,No substantive changes,no,42.2802,Community Psychology.,,,42.2802,42.2802
42.2803,Counseling Psychology.,No substantive changes,no,42.2803,Counseling Psychology.,,,42.2803,42.2803
42.2804,Industrial and Organizational Psychology.,No substantive changes,no,42.2804,Industrial and Organizational Psychology.,,,42.2804,42.2804
42.2805,School Psychology.,No substantive changes,no,42.2805,School Psychology.,,,42.2805,42.2805
42.2806,Educational Psychology.,No substantive changes,no,42.2806,Educational Psychology.,,,42.2806,42.2806
42.2807,Clinical Child Psychology.,No substantive changes,no,42.2807,Clinical Child Psychology.,,,42.2807,42.2807
42.2808,Environmental Psychology.,No substantive changes,no,42.2808,Environmental Psychology.,,,42.2808,42.2808
42.2809,Geropsychology.,No substantive changes,no,42.2809,Geropsychology.,,,42.2809,42.2809
42.2810,Health/Medical Psychology.,No substantive changes,no,42.2810,Health/Medical Psychology.,,,42.281,42.281
42.2811,Family Psychology.,No substantive changes,no,42.2811,Family Psychology.,,,42.2811,42.2811
42.2812,Forensic Psychology.,No substantive changes,no,42.2812,Forensic Psychology.,,,42.2812,42.2812
42.2813,Applied Psychology.,No substantive changes,no,42.2813,Applied Psychology.,,,42.2813,42.2813
42.2814,Applied Behavior Analysis.,No substantive changes,no,42.2814,Applied Behavior Analysis.,,,42.2814,42.2814
,,New,no,42.2815,Performance and Sport Psychology.,,,,42.2815
,,New,no,42.2816,Somatic Psychology.,,,,42.2816
,,New,no,42.2817,Transpersonal/Spiritual Psychology.,,,,42.2817
